Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,2,1022213,Mech Pcls Sort,Process,,0
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,3,1022213,Mech Pcls Sort,Process,21424,30.266664
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/04,1,1022213,Mech Pcls Sort,Process,3,
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,2,1022213,Mech Pcls Sort,Process,,0
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,3,1022213,Mech Pcls Sort,Process,49935,75.583324
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/05,1,1022213,Mech Pcls Sort,Process,49007,72.716659
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,2,1022213,Mech Pcls Sort,Process,39396,30.783328
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,3,1022213,Mech Pcls Sort,Process,55899,78.366661
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/06,1,1022213,Mech Pcls Sort,Process,42250,80.06666
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,2,1022213,Mech Pcls Sort,Process,18739,33.36666
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,3,1022213,Mech Pcls Sort,Process,51239,61.966659
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/07,1,1022213,Mech Pcls Sort,Process,31772,75.949995
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,2,1022213,Mech Pcls Sort,Process,25,4.599999
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,3,1022213,Mech Pcls Sort,Process,53567,60.416661
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/08,1,1022213,Mech Pcls Sort,Process,37379,68.999995
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,2,1022213,Mech Pcls Sort,Process,5,3.116666
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,3,1022213,Mech Pcls Sort,Process,48153,45.48333
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/09,1,1022213,Mech Pcls Sort,Process,42758,26.649998
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,2,1022213,Mech Pcls Sort,Process,2,3.233333
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,3,1022213,Mech Pcls Sort,Process,,4.133333
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/10,1,1022213,Mech Pcls Sort,Process,18,
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,2,1044420,Mech Pcls EUS,Process,17875,8.066666
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,3,1044420,Mech Pcls EUS,Process,31320,83.349993
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/04,1,1044420,Mech Pcls EUS,Process,14033,52.799996
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,2,1044420,Mech Pcls EUS,Process,15028,32.316664
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,3,1044420,Mech Pcls EUS,Process,30354,80.783324
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/05,1,1044420,Mech Pcls EUS,Process,22681,22.016666
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,2,1044420,Mech Pcls EUS,Process,,20.183331
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,3,1044420,Mech Pcls EUS,Process,30904,103.349988
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/06,1,1044420,Mech Pcls EUS,Process,22626,26.233332
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,2,1044420,Mech Pcls EUS,Process,19979,25.949997
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,3,1044420,Mech Pcls EUS,Process,30156,106.683324
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/07,1,1044420,Mech Pcls EUS,Process,22927,30.666665
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,2,1044420,Mech Pcls EUS,Process,26556,47.699995
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,3,1044420,Mech Pcls EUS,Process,30228,97.083322
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/08,1,1044420,Mech Pcls EUS,Process,22082,18.649999
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,2,1044420,Mech Pcls EUS,Process,15580,31.733329
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,3,1044420,Mech Pcls EUS,Process,28824,48.083329
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/09,1,1044420,Mech Pcls EUS,Process,1,7.516666
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,2,1044420,Mech Pcls EUS,Process,23104,67.583327
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,2,1022213,Mech Pcls Sort,Process,,3.166666
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,3,1022213,Mech Pcls Sort,Process,31030,26.549999
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/11,1,1022213,Mech Pcls Sort,Process,2,4.033333
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,2,1022213,Mech Pcls Sort,Process,,0
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,3,1022213,Mech Pcls Sort,Process,53986,83.133323
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/12,1,1022213,Mech Pcls Sort,Process,49028,45.916664
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,2,1022213,Mech Pcls Sort,Process,33705,26.716664
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,3,1022213,Mech Pcls Sort,Process,54112,86.51666
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/13,1,1022213,Mech Pcls Sort,Process,45305,68.083328
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,2,1022213,Mech Pcls Sort,Process,17,13.316666
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,3,1022213,Mech Pcls Sort,Process,57205,64.466661
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/14,1,1022213,Mech Pcls Sort,Process,39894,63.966661
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,2,1022213,Mech Pcls Sort,Process,,7.833333
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,3,1022213,Mech Pcls Sort,Process,47989,47.649997
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/15,3,1022213,Mech Pcls Sort,Process,220,
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/16,1,1022213,Mech Pcls Sort,Process,,3.916666
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,2,1044420,Mech Pcls EUS,Process,17049,
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,3,1044420,Mech Pcls EUS,Process,31997,70.583325
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/11,1,1044420,Mech Pcls EUS,Process,18851,50.749996
