PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2023/03/01,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1161,555,96
2023/05/02,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1517,1037,108
2022/12/15,990706,BSS 1330 ST JOHN'S ORIGINATING,717,595,61
2022/05/10,990715,ST. JOHN'S / ILS OH4011,1,0,0
2022/05/18,990715,ST. JOHN'S / ILS OH4011,2,0,0
2022/09/20,800509,TORONTO GW BMF / LPS 1021,26261,22303,3543
2023/03/23,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1549,1171,89
2022/11/07,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1060,1037,4
2022/02/28,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,1,0
2022/08/05,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,966,781,85
2023/01/09,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1067,889,24
2022/12/22,862380,TORONTO GW BMF / EUS SS 1023,23076,20245,2063
2022/09/06,990715,ST. JOHN'S / ILS OH4011,10,0,0
2022/03/01,990706,BSS 1330 ST JOHN'S ORIGINATING,1,0,1
2022/08/22,990715,ST. JOHN'S / ILS OH4011,5,0,0
2022/11/14,800509,TORONTO GW BMF / LPS 1021,10665,9563,803
2022/12/06,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,2209,1483,350
2022/09/06,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,949,899,9
2022/12/30,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1874,1390,345
2021/12/22,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,3,3,0
2022/09/14,990706,BSS 1330 ST JOHN'S ORIGINATING,445,283,11
2023/01/18,800214,ST JOHN'S / ILC 1240,485,472,6
2023/01/02,862380,TORONTO GW BMF / EUS SS 1023,8775,5040,2713
2023/01/25,862380,TORONTO GW BMF / EUS SS 1023,19829,11608,7234
2022/01/05,800509,TORONTO GW BMF / LPS 1021,3,1,0
2022/10/05,990715,ST. JOHN'S / ILS OH4011,19,0,0
2022/10/13,990706,BSS 1330 ST JOHN'S ORIGINATING,644,496,9
2022/09/14,800214,ST JOHN'S / ILC 1240,253,236,0
2022/10/04,800509,TORONTO GW BMF / LPS 1021,35593,22444,11376
2022/03/31,862380,TORONTO GW BMF / EUS SS 1023,3,1,2
2023/05/24,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,1
2022/08/04,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1015,580,169
2023/05/04,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1527,1285,51
2022/04/12,800214,ST JOHN'S / ILC 1240,1,0,0
