Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,1,4,2019/01/02,2,1044414,Manual Packets,Process,730,7.816663
A1B 3R0,St. John's MPP,2019,1,4,2019/01/02,3,1044414,Manual Packets,Process,3156,8.833332
A1B 3R0,St. John's MPP,2019,1,4,2019/01/03,1,1044414,Manual Packets,Process,97,1.783333
A1B 3R0,St. John's MPP,2019,1,5,2019/01/03,2,1044414,Manual Packets,Process,4294,23.699995
A1B 3R0,St. John's MPP,2019,1,5,2019/01/03,3,1044414,Manual Packets,Process,5364,32.499992
A1B 3R0,St. John's MPP,2019,1,5,2019/01/04,1,1044414,Manual Packets,Process,,2.3
A1B 3R0,St. John's MPP,2019,1,6,2019/01/04,2,1044414,Manual Packets,Process,6266,42.016653
A1B 3R0,St. John's MPP,2019,1,6,2019/01/04,3,1044414,Manual Packets,Process,6185,21.11666
A1B 3R0,St. John's MPP,2019,1,7,2019/01/05,2,1044414,Manual Packets,Process,5148,12.049997
A1B 3R0,St. John's MPP,2019,1,7,2019/01/05,3,1044414,Manual Packets,Process,1742,1.916666
A1B 3R0,St. John's MPP,2019,2,1,2019/01/06,3,1044414,Manual Packets,Process,2346,6.633332
A1B 3R0,St. John's MPP,2019,2,1,2019/01/07,1,1044414,Manual Packets,Process,644,9.949997
A1B 3R0,St. John's MPP,2019,2,2,2019/01/07,2,1044414,Manual Packets,Process,5236,13.749993
A1B 3R0,St. John's MPP,2019,2,2,2019/01/07,3,1044414,Manual Packets,Process,6436,18.31666
A1B 3R0,St. John's MPP,2019,2,2,2019/01/08,1,1044414,Manual Packets,Process,1643,7.166666
A1B 3R0,St. John's MPP,2019,2,3,2019/01/08,2,1044414,Manual Packets,Process,2634,34.883325
A1B 3R0,St. John's MPP,2019,2,3,2019/01/08,3,1044414,Manual Packets,Process,1162,11.416665
A1B 3R0,St. John's MPP,2019,2,3,2019/01/09,1,1044414,Manual Packets,Process,57,3.366666
A1B 3R0,St. John's MPP,2019,2,4,2019/01/09,2,1044414,Manual Packets,Process,7468,43.11666
A1B 3R0,St. John's MPP,2019,2,4,2019/01/09,3,1044414,Manual Packets,Process,2512,21.816659
A1B 3R0,St. John's MPP,2019,2,4,2019/01/10,1,1044414,Manual Packets,Process,2576,17.566664
A1B 3R0,St. John's MPP,2019,2,5,2019/01/10,2,1044414,Manual Packets,Process,1805,24.233327
A1B 3R0,St. John's MPP,2019,2,5,2019/01/10,3,1044414,Manual Packets,Process,5932,21.399992
A1B 3R0,St. John's MPP,2019,2,5,2019/01/11,1,1044414,Manual Packets,Process,1461,11.949997
A1B 3R0,St. John's MPP,2019,2,6,2019/01/11,2,1044414,Manual Packets,Process,7779,30.26666
A1B 3R0,St. John's MPP,2019,2,6,2019/01/11,3,1044414,Manual Packets,Process,2328,10.499997
A1B 3R0,St. John's MPP,2019,2,7,2019/01/12,2,1044414,Manual Packets,Process,3857,12.549995
A1B 3R0,St. John's MPP,2019,2,7,2019/01/12,3,1044414,Manual Packets,Process,229,1.316666
A1B 3R0,St. John's MPP,2019,3,1,2019/01/13,3,1044414,Manual Packets,Process,1196,9.916664
A1B 3R0,St. John's MPP,2019,3,1,2019/01/14,1,1044414,Manual Packets,Process,2243,14.116662
A1B 3R0,St. John's MPP,2019,3,2,2019/01/14,2,1044414,Manual Packets,Process,3145,18.349996
A1B 3R0,St. John's MPP,2019,3,2,2019/01/14,3,1044414,Manual Packets,Process,5664,21.683322
A1B 3R0,St. John's MPP,2019,3,2,2019/01/15,1,1044414,Manual Packets,Process,1385,11.049996
A1B 3R0,St. John's MPP,2019,3,3,2019/01/15,2,1044414,Manual Packets,Process,6205,35.433325
A1B 3R0,St. John's MPP,2019,3,3,2019/01/15,3,1044414,Manual Packets,Process,3884,18.166661
A1B 3R0,St. John's MPP,2019,3,3,2019/01/16,1,1044414,Manual Packets,Process,2388,20.633328
A1B 3R0,St. John's MPP,2019,3,4,2019/01/16,2,1044414,Manual Packets,Process,7147,30.366659
A1B 3R0,St. John's MPP,2019,3,4,2019/01/16,3,1044414,Manual Packets,Process,2125,16.966662
A1B 3R0,St. John's MPP,2019,3,4,2019/01/17,1,1044414,Manual Packets,Process,1288,11.333326
A1B 3R0,St. John's MPP,2019,3,5,2019/01/17,2,1044414,Manual Packets,Process,5508,27.266661
A1B 3R0,St. John's MPP,2019,3,5,2019/01/17,3,1044414,Manual Packets,Process,3283,15.949994
A1B 3R0,St. John's MPP,2019,3,5,2019/01/18,1,1044414,Manual Packets,Process,2564,9.78333
A1B 3R0,St. John's MPP,2019,3,6,2019/01/18,2,1044414,Manual Packets,Process,5008,35.849994
A1B 3R0,St. John's MPP,2019,3,6,2019/01/18,3,1044414,Manual Packets,Process,2439,20.133329
A1B 3R0,St. John's MPP,2019,3,7,2019/01/19,2,1044414,Manual Packets,Process,5295,16.783329
A1B 3R0,St. John's MPP,2019,3,7,2019/01/19,3,1044414,Manual Packets,Process,322,1
A1B 3R0,St. John's MPP,2019,4,1,2019/01/20,3,1044414,Manual Packets,Process,1666,10.733331
A1B 3R0,St. John's MPP,2019,4,1,2019/01/21,1,1044414,Manual Packets,Process,181,6.38333
