Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,1,4,2019/01/02,2,1044413,Manual Parcels,Process,1522,4.433331
A1B 3R0,St. John's MPP,2019,1,4,2019/01/02,3,1044413,Manual Parcels,Process,688,9.199997
A1B 3R0,St. John's MPP,2019,1,5,2019/01/03,2,1044413,Manual Parcels,Process,2353,27.183327
A1B 3R0,St. John's MPP,2019,1,5,2019/01/03,3,1044413,Manual Parcels,Process,3717,33.799993
A1B 3R0,St. John's MPP,2019,1,5,2019/01/04,1,1044413,Manual Parcels,Process,488,7.716664
A1B 3R0,St. John's MPP,2019,1,6,2019/01/04,2,1044413,Manual Parcels,Process,2138,20.733321
A1B 3R0,St. John's MPP,2019,1,6,2019/01/04,3,1044413,Manual Parcels,Process,3375,31.699991
A1B 3R0,St. John's MPP,2019,1,7,2019/01/05,2,1044413,Manual Parcels,Process,1997,19.983327
A1B 3R0,St. John's MPP,2019,1,7,2019/01/05,3,1044413,Manual Parcels,Process,492,7.766665
A1B 3R0,St. John's MPP,2019,2,1,2019/01/06,3,1044413,Manual Parcels,Process,2625,30.649993
A1B 3R0,St. John's MPP,2019,2,1,2019/01/07,1,1044413,Manual Parcels,Process,2864,17.449993
A1B 3R0,St. John's MPP,2019,2,2,2019/01/07,2,1044413,Manual Parcels,Process,2557,20.499988
A1B 3R0,St. John's MPP,2019,2,2,2019/01/07,3,1044413,Manual Parcels,Process,3570,33.61666
A1B 3R0,St. John's MPP,2019,2,2,2019/01/08,1,1044413,Manual Parcels,Process,,4.966665
A1B 3R0,St. John's MPP,2019,2,3,2019/01/08,2,1044413,Manual Parcels,Process,734,11.616663
A1B 3R0,St. John's MPP,2019,2,3,2019/01/08,3,1044413,Manual Parcels,Process,977,21.783328
A1B 3R0,St. John's MPP,2019,2,3,2019/01/09,1,1044413,Manual Parcels,Process,749,4.166666
A1B 3R0,St. John's MPP,2019,2,4,2019/01/09,2,1044413,Manual Parcels,Process,2166,30.199993
A1B 3R0,St. John's MPP,2019,2,4,2019/01/09,3,1044413,Manual Parcels,Process,3554,20.783326
A1B 3R0,St. John's MPP,2019,2,4,2019/01/10,1,1044413,Manual Parcels,Process,1198,9.93333
A1B 3R0,St. John's MPP,2019,2,5,2019/01/10,2,1044413,Manual Parcels,Process,2537,35.833325
A1B 3R0,St. John's MPP,2019,2,5,2019/01/10,3,1044413,Manual Parcels,Process,1540,24.999994
A1B 3R0,St. John's MPP,2019,2,5,2019/01/11,1,1044413,Manual Parcels,Process,,3.516666
