Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,2,1044404,Induct Parcels,Process,,38.016664
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,3,1044404,Induct Parcels,Process,21424,35.049997
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/04,1,1044404,Induct Parcels,Process,3,14.533333
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,2,1044404,Induct Parcels,Process,,31.283331
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,3,1044404,Induct Parcels,Process,49935,174.316651
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/05,1,1044404,Induct Parcels,Process,49007,136.816658
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,2,1044404,Induct Parcels,Process,39396,98.016654
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,3,1044404,Induct Parcels,Process,55899,195.84998
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/06,1,1044404,Induct Parcels,Process,42250,137.683324
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,2,1044404,Induct Parcels,Process,18739,97.299989
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,3,1044404,Induct Parcels,Process,51239,166.666649
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/07,1,1044404,Induct Parcels,Process,31772,117.333326
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,2,1044404,Induct Parcels,Process,25,65.749995
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,3,1044404,Induct Parcels,Process,53567,159.683323
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/08,1,1044404,Induct Parcels,Process,37379,121.299993
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,2,1044404,Induct Parcels,Process,5,49.299996
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,3,1044404,Induct Parcels,Process,48153,99.266659
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/09,1,1044404,Induct Parcels,Process,42758,120.833325
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,2,1044404,Induct Parcels,Process,2,53.783329
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,3,1044404,Induct Parcels,Process,,15.449998
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/10,1,1044404,Induct Parcels,Process,18,7.783332
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,2,1044410,Induct Pcls EUS,Process,17875,19.899997
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/03,3,1044410,Induct Pcls EUS,Process,32920,78.449992
L5W 1B0,Toronto Gateway East,2022,14,1,2022/04/04,1,1044410,Induct Pcls EUS,Process,15203,91.749992
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,2,1044410,Induct Pcls EUS,Process,15028,43.883326
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/04,3,1044410,Induct Pcls EUS,Process,30954,74.883325
L5W 1B0,Toronto Gateway East,2022,14,2,2022/04/05,1,1044410,Induct Pcls EUS,Process,25156,105.016656
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,2,1044410,Induct Pcls EUS,Process,,32.816663
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/05,3,1044410,Induct Pcls EUS,Process,31304,73.233328
L5W 1B0,Toronto Gateway East,2022,14,3,2022/04/06,1,1044410,Induct Pcls EUS,Process,23691,147.149989
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,2,1044410,Induct Pcls EUS,Process,19979,54.616662
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/06,3,1044410,Induct Pcls EUS,Process,30156,83.799992
L5W 1B0,Toronto Gateway East,2022,14,4,2022/04/07,1,1044410,Induct Pcls EUS,Process,24582,95.449989
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,2,1044410,Induct Pcls EUS,Process,26556,74.683325
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/07,3,1044410,Induct Pcls EUS,Process,30228,66.416662
L5W 1B0,Toronto Gateway East,2022,14,5,2022/04/08,1,1044410,Induct Pcls EUS,Process,24357,121.449991
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,2,1044410,Induct Pcls EUS,Process,15580,32.849996
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/08,3,1044410,Induct Pcls EUS,Process,29024,60.816662
L5W 1B0,Toronto Gateway East,2022,14,6,2022/04/09,1,1044410,Induct Pcls EUS,Process,1,22.749998
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,2,1044410,Induct Pcls EUS,Process,23504,38.066661
L5W 1B0,Toronto Gateway East,2022,14,7,2022/04/09,3,1044410,Induct Pcls EUS,Process,,7.833332
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,2,1044404,Induct Parcels,Process,,37.649996
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,3,1044404,Induct Parcels,Process,31030,38.299998
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/11,1,1044404,Induct Parcels,Process,2,26.633331
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,2,1044404,Induct Parcels,Process,,32.433331
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,3,1044404,Induct Parcels,Process,53986,150.416652
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/12,1,1044404,Induct Parcels,Process,49028,132.499992
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,2,1044404,Induct Parcels,Process,33705,111.333319
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,3,1044404,Induct Parcels,Process,54112,168.066649
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/13,1,1044404,Induct Parcels,Process,45305,113.566656
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,2,1044404,Induct Parcels,Process,17,75.416657
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,3,1044404,Induct Parcels,Process,57205,180.683317
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/14,1,1044404,Induct Parcels,Process,39894,103.516659
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,2,1044404,Induct Parcels,Process,,54.133329
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,3,1044404,Induct Parcels,Process,47989,141.766651
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/15,3,1044404,Induct Parcels,Process,220,2
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/16,1,1044404,Induct Parcels,Process,,51.666666
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,2,1044404,Induct Parcels,Process,,34.566664
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,3,1044404,Induct Parcels,Process,,16.183332
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,2,1044410,Induct Pcls EUS,Process,17049,16.533331
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,3,1044410,Induct Pcls EUS,Process,34647,83.016659
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/11,1,1044410,Induct Pcls EUS,Process,19931,68.349993
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,2,1044410,Induct Pcls EUS,Process,,3.716666
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,3,1044410,Induct Pcls EUS,Process,32220,93.116656
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/12,1,1044410,Induct Pcls EUS,Process,26748,95.083327
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,2,1044410,Induct Pcls EUS,Process,12962,39.683329
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,3,1044410,Induct Pcls EUS,Process,30838,68.566661
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/13,1,1044410,Induct Pcls EUS,Process,22764,61.816662
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,2,1044410,Induct Pcls EUS,Process,22258,58.083328
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,3,1044410,Induct Pcls EUS,Process,30679,85.433323
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/14,1,1044410,Induct Pcls EUS,Process,21357,65.699995
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,2,1044410,Induct Pcls EUS,Process,23523,50.233326
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,3,1044410,Induct Pcls EUS,Process,31812,98.033326
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/16,1,1044410,Induct Pcls EUS,Process,24392,10.949998
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,2,1044410,Induct Pcls EUS,Process,17027,34.416665
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,3,1044410,Induct Pcls EUS,Process,19343,7.416666
L5W 1B0,Toronto Gateway East,2022,16,1,2022/04/18,1,1044404,Induct Parcels,Process,264,
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/18,3,1044404,Induct Parcels,Process,57272,137.383317
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/19,1,1044404,Induct Parcels,Process,38957,143.766654
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,2,1044404,Induct Parcels,Process,24396,24.649999
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,3,1044404,Induct Parcels,Process,55768,168.549984
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/20,1,1044404,Induct Parcels,Process,46529,124.999988
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,2,1044404,Induct Parcels,Process,41147,108.48332
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,3,1044404,Induct Parcels,Process,50219,164.01665
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/21,1,1044404,Induct Parcels,Process,51066,152.316653
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,2,1044404,Induct Parcels,Process,35546,120.866654
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,3,1044404,Induct Parcels,Process,51237,154.066653
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/22,1,1044404,Induct Parcels,Process,42889,180.383318
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/22,2,1044404,Induct Parcels,Process,31940,136.633318
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/22,3,1044404,Induct Parcels,Process,44395,163.899987
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/23,1,1044404,Induct Parcels,Process,41445,156.433321
L5W 1B0,Toronto Gateway East,2022,16,7,2022/04/23,2,1044404,Induct Parcels,Process,23734,131.383319
L5W 1B0,Toronto Gateway East,2022,16,7,2022/04/23,3,1044404,Induct Parcels,Process,29528,91.716654
L5W 1B0,Toronto Gateway East,2022,16,7,2022/04/24,1,1044404,Induct Parcels,Process,,6.033333
L5W 1B0,Toronto Gateway East,2022,16,1,2022/04/18,1,1044410,Induct Pcls EUS,Process,11,
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/18,2,1044410,Induct Pcls EUS,Process,,0
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/18,3,1044410,Induct Pcls EUS,Process,30560,108.216656
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/19,1,1044410,Induct Pcls EUS,Process,17483,63.199995
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,2,1044410,Induct Pcls EUS,Process,,10.716666
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,3,1044410,Induct Pcls EUS,Process,29068,109.94999
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/20,1,1044410,Induct Pcls EUS,Process,29450,74.599996
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,2,1044410,Induct Pcls EUS,Process,21236,78.416659
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,3,1044410,Induct Pcls EUS,Process,29986,103.399991
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/21,1,1044410,Induct Pcls EUS,Process,27510,65.983329
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,2,1044410,Induct Pcls EUS,Process,19768,77.84999
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,3,1044410,Induct Pcls EUS,Process,34543,102.066659
